3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Lalor (VIC),0.4132437903,,0.1954010655,0.3913551442,,,0.5881277439,,,0.4118722561,,,0.2178427248,1,0.9999947445,-0.1954010655,0,0,0,0.5,0,0.1959540787,,,-0.1954010655,,,-0.1954010655,,
La Trobe (VIC),0.3652482144,0.3449713646,,0.2897804209,,,0.4447035476,0.5552964524,,,,,0.07546779348,0.9999194778,0.002847687808,0.05519094372,0.9971059236,0.9971523122,-0.2897804209,0,0,0,,,-0.2897804209,,,-0.2897804209,,
Ballarat (VIC),0.5146554672,0.2098032417,,0.2755412911,,,0.5742395878,,,0.4257604122,,,0.3048522254,1,0.9998971776,-0.06573804936,0.0005064795518,0,-0.2098032417,0,0,0.06573804936,,,-0.2098032417,,,-0.2098032417,,
Bendigo (VIC),0.4275737814,0.3335520743,,0.2388741443,,,0.493251406,0.506748594,,,,,0.188699637,1,0.3678964998,0.09467792996,0.9999988987,0.6321035002,-0.2388741443,0,0,0,,,-0.2388741443,,,-0.2388741443,,
Corangamite (VIC),0.3800792955,0.3890279863,0.2308927182,,,,0.5835309687,0.4164690313,,,,,0.1491865773,1,0.9999852017,0.1581352681,1,1.479828735e-05,0,0.5,0,-0.2308927182,,,-0.2308927182,,,-0.2308927182,,
Corio (VIC),0.3983982089,,0.2195583822,0.3820434088,,,0.594902961,,,0.405097039,,,0.1788398267,1,0.9999989582,-0.2195583822,0,0,0,0.5,0,0.1624850266,,,-0.2195583822,,,-0.2195583822,,
Hawke (VIC),0.4346190449,0.2293384688,,0.3360424863,,,0.4997511701,,,0.5002488299,,,0.2052805761,1,0.4950366893,-0.1067040174,4.771942175e-08,0,-0.2293384688,0,0,0.1067040174,,,-0.2293384688,,,-0.2293384688,,
Casey (VIC),0.3834353038,0.3425023207,,0.2740623756,,,0.4561983664,0.5438016336,,,,,0.1093729282,0.9999999773,0.01425915687,0.06843994507,0.9996891853,0.9857408431,-0.2740623756,0,0,0,,,-0.2740623756,,,-0.2740623756,,
Flinders (VIC),,0.4485907774,,0.2451213194,0.3062879032,,,0.6249245063,,,0.3750754937,,-0.2451213194,0,0,0.203469458,1,0.9999999998,-0.2451213194,0,0,0,,,0.06116658378,,,-0.2451213194,,
Gippsland (VIC),0.2273945877,0.44599936,,0.3266060524,,,,0.5799572938,,0.4200427062,,,-0.0992114647,3.514272799e-07,0,0.2186047723,1,0.9999680418,-0.2273945877,0,0,0.0992114647,,,-0.2273945877,,,-0.2273945877,,
Monash (VIC),,0.3319996312,,0.2630059068,0.404994462,,,0.4986095198,,,0.5013904802,,-0.2630059068,0,0,0.06899372434,0.9997193808,0.4722862612,-0.2630059068,0,0,0,,,0.1419885552,,,-0.2630059068,,
Indi (VIC),,0.2157813648,,0.2798099075,0.5044087276,,,,,0.4493524085,0.5506475915,,-0.2157813648,0,0,-0.0640285427,0.0006837432806,0,-0.2157813648,0,0,0.0640285427,,,0.2886273628,,,-0.2157813648,,
McEwen (VIC),0.4487755554,0.2662068461,,0.2850175985,,,0.5243782997,,,0.4756217003,,,0.1825687093,1,0.8885617692,-0.01881075245,0.1734709305,0,-0.2662068461,0,0,0.01881075245,,,-0.2662068461,,,-0.2662068461,,
Nicholls (VIC),,0.3871566851,,0.2695164102,0.3433269047,,,0.6048124269,,,0.3951875731,,-0.2695164102,0,0,0.1176402749,0.999999998,0.99999992,-0.2695164102,0,0,0,,,0.07381049457,,,-0.2695164102,,
Mallee (VIC),0.2351287839,0.4123171296,,0.3525540865,,,,0.550831271,,0.449168729,,,-0.1174253026,2.16241014e-09,0,0.1771883457,1,0.9944821059,-0.2351287839,0,0,0.1174253026,,,-0.2351287839,,,-0.2351287839,,
Wannon (VIC),,0.3851302981,,0.2297528926,0.3851168093,,,0.5387317494,,,0.4612682506,,-0.2297528926,0,0,0.1553774055,1,0.9736021045,-0.2297528926,0,0,0,,,0.1553639167,,,-0.2297528926,,
Brisbane (QLD),0.2967536937,0.3789421185,0.3243041878,,,,,0.4508515527,0.5491484473,,,,-0.02755049409,0.08417504112,0,0.08218842475,0.9999801674,0.006996902655,0.02755049409,0.9158249589,0.9930030973,-0.2967536937,,,-0.2967536937,,,-0.2967536937,,
Lilley (QLD),0.4302881027,,0.2056807067,0.3640311906,,,0.6143723352,,,0.3856276648,,,0.224607396,1,0.9999999946,-0.2056807067,0,0,0,0.5,0,0.158350484,,,-0.2056807067,,,-0.2056807067,,
Griffith (QLD),0.367256371,,0.3790693094,0.2536743196,,,0.4851013441,,0.5148986559,,,,0.1135820514,0.9999999932,0.2281561745,-0.2536743196,0,0,0.1253949898,0.9999999998,0.7718438255,0,,,-0.2536743196,,,-0.2536743196,,
Moreton (QLD),0.3995801179,,0.260130074,0.3402898082,,,0.6323965341,,,0.3676034659,,,0.1394500439,1,1,-0.260130074,0,0,0,0.5,0,0.0801597342,,,-0.260130074,,,-0.260130074,,
Bonner (QLD),0.4479440316,0.3130965001,,0.2389594682,,,0.5130903524,0.4869096476,,,,,0.2089845634,1,0.7436108098,0.07413703191,0.9998950741,0.2563891902,-0.2389594682,0,0,0,,,-0.2389594682,,,-0.2389594682,,
Bowman (QLD),0.3665281702,0.3338906474,,0.2995811824,,,0.4489766109,0.5510233891,,,,,0.06694698786,0.9995920585,0.005368105582,0.03430946507,0.9568707525,0.9946318944,-0.2995811824,0,0,0,,,-0.2995811824,,,-0.2995811824,,
Dickson (QLD),0.4394631318,0.3104797675,,0.2500571007,,,0.5059640293,0.4940359707,,,,,0.1894060311,1,0.6172252988,0.06042266672,0.9987408478,0.3827747012,-0.2500571007,0,0,0,,,-0.2500571007,,,-0.2500571007,,
Petrie (QLD),0.4001927091,0.31841517,,0.2813921209,,,0.4796220922,0.5203779078,,,,,0.1188005882,0.9999999986,0.1541263165,0.03702304906,0.9679261881,0.8458736835,-0.2813921209,0,0,0,,,-0.2813921209,,,-0.2813921209,,
Fadden (QLD),0.3193016902,0.3466539539,,0.3340443558,,,,0.5347542738,,0.4652457262,,,-0.01474266564,0.2305206506,0,0.02735226374,0.9142834068,0.9588693624,-0.3193016902,0,0,0.01474266564,,,-0.3193016902,,,-0.3193016902,,
Forde (QLD),0.3868786989,0.259379861,,0.35374144,,,0.4605425795,,,0.5394574205,,,0.1274988379,0.9999999999,0.02425512921,-0.09436157899,1.190410534e-06,0,-0.259379861,0,0,0.09436157899,,,-0.259379861,,,-0.259379861,,
Oxley (QLD),0.4815797877,,0.1738066202,0.3446135922,,,0.6371367127,,,0.3628632873,,,0.3077731675,1,1,-0.1738066202,0,0,0,0.5,0,0.170806972,,,-0.1738066202,,,-0.1738066202,,
Rankin (QLD),0.4529089293,,0.1713350633,0.3757560073,,,0.606253811,,,0.393746189,,,0.281573866,1,0.999999946,-0.1713350633,0,0,0,0.5,0,0.204420944,,,-0.1713350633,,,-0.1713350633,,
Ryan (QLD),0.2490471272,0.3951950496,0.3557578231,,,,,0.4555442159,0.5444557841,,,,-0.1067106959,4.763167893e-08,0,0.1461479224,1,0.01311500873,0.1067106959,0.9999999524,0.9868849913,-0.2490471272,,,-0.2490471272,,,-0.2490471272,,
