State,DivisionID,Electorate,CountNumber,EliminatedCandidateID,EliminatedCandidate,EliminatedModelCategory,EliminatedCandidateSubtype,EliminatedIdeologyFamily,EliminatedTally,InternalCategoryExclusion,CategoryExitThisCount,RecipientCandidateID,RecipientCandidate,RecipientModelCategory,RecipientCandidateSubtype,RecipientIdeologyFamily,TransferVotes,TransferShare,SameCategoryTransfer,AliveModelCategoriesAfter
VIC,208,Corio,1,41251,Sarah Hathway,OTH,OTH_SAL,LEFT,3209,True,False,41142,Emilie Flynn,GRN,GRN,,1740,0.542224992209411,False,ALP>LNP>GRN>ON>OTH
VIC,208,Corio,1,41251,Sarah Hathway,OTH,OTH_SAL,LEFT,3209,True,False,41515,Adam Helman,ON,ON,,372,0.11592396385166719,False,ALP>LNP>GRN>ON>OTH
VIC,208,Corio,1,41251,Sarah Hathway,OTH,OTH_SAL,LEFT,3209,True,False,41567,John De Lorenzo,OTH,IND_MINOR,CENTRE,530,0.16516048613275164,True,ALP>LNP>GRN>ON>OTH
VIC,208,Corio,2,41567,John De Lorenzo,OTH,IND_MINOR,CENTRE,4460,False,True,40759,Darren Buller,LNP,LIB,,715,0.16031390134529147,False,ALP>LNP>GRN>ON
VIC,208,Corio,2,41567,John De Lorenzo,OTH,IND_MINOR,CENTRE,4460,False,True,40854,Richard Marles,ALP,ALP,,919,0.20605381165919281,False,ALP>LNP>GRN>ON
VIC,208,Corio,2,41567,John De Lorenzo,OTH,IND_MINOR,CENTRE,4460,False,True,41142,Emilie Flynn,GRN,GRN,,1271,0.28497757847533634,False,ALP>LNP>GRN>ON
VIC,208,Corio,2,41567,John De Lorenzo,OTH,IND_MINOR,CENTRE,4460,False,True,41515,Adam Helman,ON,ON,,1555,0.3486547085201794,False,ALP>LNP>GRN>ON
VIC,208,Corio,3,41515,Adam Helman,ON,ON,,12880,False,True,40759,Darren Buller,LNP,LIB,,6766,0.5253105590062112,False,ALP>LNP>GRN
VIC,208,Corio,3,41515,Adam Helman,ON,ON,,12880,False,True,40854,Richard Marles,ALP,ALP,,2470,0.19177018633540371,False,ALP>LNP>GRN
VIC,208,Corio,3,41515,Adam Helman,ON,ON,,12880,False,True,41142,Emilie Flynn,GRN,GRN,,3644,0.2829192546583851,False,ALP>LNP>GRN
VIC,208,Corio,4,41142,Emilie Flynn,GRN,GRN,,24146,False,True,40759,Darren Buller,LNP,LIB,,5508,0.22811231673983268,False,ALP>LNP
VIC,208,Corio,4,41142,Emilie Flynn,GRN,GRN,,24146,False,True,40854,Richard Marles,ALP,ALP,,18638,0.7718876832601673,False,ALP>LNP
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,40795,Michael Sukkar,LNP,LIB,,204,0.12870662460567822,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,40861,Matt Gregg,ALP,ALP,,78,0.04921135646687697,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,40868,Jess Ness,IND,IND_PROMINENT,LEFT,132,0.0832807570977918,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,41128,Amy Mills,GRN,GRN,,62,0.039116719242902206,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,197,0.12429022082018927,True,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,41512,Anne Cooke,ON,ON,,439,0.2769716088328076,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,1,41746,Will Vandermeer,OTH,OTH_LTP,RIGHT,1585,True,False,41547,Richard Griffith-Jones,OTH,OTH_FFPA,RIGHT,473,0.29842271293375394,True,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,40795,Michael Sukkar,LNP,LIB,,403,0.19658536585365854,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,40861,Matt Gregg,ALP,ALP,,145,0.07073170731707316,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,40868,Jess Ness,IND,IND_PROMINENT,LEFT,247,0.12048780487804878,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,41128,Amy Mills,GRN,GRN,,148,0.0721951219512195,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,41512,Anne Cooke,ON,ON,,738,0.36,False,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,2,41387,Milton Wilde,OTH,OTH_CYA,RIGHT,2050,True,False,41547,Richard Griffith-Jones,OTH,OTH_FFPA,RIGHT,369,0.18,True,ALP>LNP>GRN>ON>IND>OTH
VIC,209,Deakin,3,41547,Richard Griffith-Jones,OTH,OTH_FFPA,RIGHT,2948,False,True,40795,Michael Sukkar,LNP,LIB,,927,0.3144504748982361,False,ALP>LNP>GRN>ON>IND
