State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
NSW,113,Cowper,LNP,1,40836,1,,41937,Pat Conaghan,NAT,,0,0.3790411658235485
NSW,113,Cowper,IND,1,31616,2,,36245,Caz Heise,IND_PROMINENT,CENTRE_LEFT,0,0.29346080660880863
NSW,113,Cowper,ALP,1,12713,3,9,41332,Greg Vigors,ALP,,0,0.11800250614934794
NSW,113,Cowper,ON,1,6856,4,8,41876,Chris Walsh,ON,,0,0.06363762936835754
NSW,113,Cowper,OTH,6,11162,5,7,41443,Megan Mathew,OTH_HMP,CENTRE_LEFT,5,0.10360607045064278
NSW,113,Cowper,GRN,1,4552,6,6,41528,Wendy Firefly,GRN,,0,0.04225182159929457
NSW,114,Cunningham,ALP,1,51607,1,,41343,Alison Byrnes,ALP,,0,0.4469144569340284
NSW,114,Cunningham,LNP,1,26813,2,,41453,Amanda Ivaneza,LIB,,0,0.23219945615463222
NSW,114,Cunningham,GRN,1,23584,3,4,41568,Jess Whittaker,GRN,,0,0.20423645149557476
NSW,114,Cunningham,ON,1,8765,4,3,41924,John Fuller,ON,,0,0.07590453262206211
NSW,114,Cunningham,OTH,2,4705,5,2,40878,Tim Lavers,OTH_AJP,CENTRE_LEFT,1,0.04074510279370248
NSW,115,Dobell,ALP,1,44268,1,,41358,Emma Mcbride,ALP,,0,0.42801202780705233
NSW,115,Dobell,LNP,1,28757,2,,41469,Brendan Small,LIB,,0,0.2780415172053719
NSW,115,Dobell,GRN,1,10647,3,6,41558,Simon George Cooper,GRN,,0,0.10294217177332805
NSW,115,Dobell,ON,1,9040,4,5,41919,Martin Stevenson,ON,,0,0.08740464288822068
NSW,115,Dobell,OTH,4,10715,5,4,41933,Tim Claydon,OTH_HMP,CENTRE_LEFT,3,0.10359964032602706
NSW,117,Eden-Monaro,ALP,1,46088,1,,41737,Kristy Mcbain,ALP,,0,0.4303750186762289
NSW,117,Eden-Monaro,LNP,1,34142,2,,41454,Jo Van Der Plaat,LIB,,0,0.31882190348124906
NSW,117,Eden-Monaro,GRN,1,10739,3,6,41557,Emma Goward,GRN,,0,0.1002820110563275
NSW,117,Eden-Monaro,ON,1,7451,4,5,41921,Richard Graham,ON,,0,0.06957829075153145
NSW,117,Eden-Monaro,OTH,4,8668,5,4,37724,Andrew Evan Thaler,IND_MINOR,CENTRE,3,0.08094277603466309
NSW,118,Farrer,LNP,1,44743,1,,41463,Sussan Ley,LIB,,0,0.43413252088528376
NSW,118,Farrer,IND,1,20567,2,,40627,Michelle Milthorpe,IND_PROMINENT,CENTRE,0,0.1995575521768239
NSW,118,Farrer,ALP,1,15551,3,7,41352,Glen Hyde,ALP,,0,0.15088829162745118
NSW,118,Farrer,ON,1,6803,4,6,41959,Emma Hicks,ON,,0,0.06600816976024373
NSW,118,Farrer,GRN,1,5085,5,5,41559,Richard August Hendrie,GRN,,0,0.04933875396602078
NSW,118,Farrer,OTH,4,10314,6,4,41644,Peter Sinclair,OTH_ASP,CENTRE_RIGHT,3,0.10007471158417666
NSW,119,Fowler,IND,1,31108,1,,36240,Dai Le,IND_PROMINENT,CENTRE,0,0.33471776883513743
NSW,119,Fowler,ALP,1,34909,2,,41357,Tu Le,ALP,,0,0.3756160020658934
NSW,119,Fowler,LNP,1,11404,3,5,41460,Vivek Singha,LIB,,0,0.12270545955368095
NSW,119,Fowler,GRN,1,6288,4,4,41556,Avery Jacob Howard,GRN,,0,0.06765800856484969
NSW,119,Fowler,OTH,2,5394,5,3,41806,Jared Athavle,OTH_FFPA,RIGHT,1,0.058038692461641096
NSW,119,Fowler,ON,1,3835,6,2,41956,Tony Margos,ON,,0,0.04126406851879748
NSW,120,Gilmore,ALP,1,42342,1,,41365,Fiona Phillips,ALP,,0,0.38127740808442817
NSW,120,Gilmore,LNP,1,38247,2,,41739,Andrew Constance,LIB,,0,0.34440312283324176
