State,DivisionID,Electorate,CountNumber,CandidateID,BallotPosition,CandidateName,OfficialPartyCode,OfficialPartyName,ModelCategory,CandidateSubtype,IdeologyFamily,PrimaryVotes,PreferenceCountBefore,TransferCount,PreferenceCountAfter,IsExcludedThisCount,InternalCategoryExclusion,CategoryExitThisCount,SameCategoryCandidatesAliveAfter,IsContinuingBefore,IsContinuingAfter,AliveCandidateCountBefore,AliveCandidateCountAfter,AliveCategoryCountBefore,AliveCategoryCountAfter,AliveCandidateIDsBefore,AliveCandidateIDsAfter,AliveModelCategoriesBefore,AliveModelCategoriesAfter,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,AEC_Elected,AEC_HistoricElected
NSW,103,Banks,0,41411,7,David Coleman,LP,Liberal,LNP,LIB,,38683,38683,0,38683,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,2,,41411,N,Y
NSW,103,Banks,0,40625,8,John Coyne,IND,Independent,OTH,IND_MINOR,CENTRE_LEFT,1995,1995,0,1995,False,False,False,0,True,True,8,8,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871>41990,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,1,41763,1,Allan Taruste,CYA,Trumpet of Patriots,OTH,OTH_CYA,RIGHT,3430,3430,40,3470,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,1,41858,2,Todd Nicol,ON,Pauline Hanson's One Nation,ON,ON,,3666,3666,81,3747,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,4,5,41858,N,N
NSW,103,Banks,1,41990,3,Phillip Pearce,AUD,Australian Democrats,OTH,OTH_AUD,CENTRE_LEFT,688,688,-688,0,True,True,False,3,True,False,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,1,41871,4,Marika Momircevski,LTP,Libertarian,OTH,OTH_LTP,RIGHT,2678,2678,83,2761,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
NSW,103,Banks,1,41486,5,Natalie Hanna,GRN,The Greens,GRN,GRN,,11756,11756,178,11934,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,3,6,41486,N,N
NSW,103,Banks,1,41350,6,Zhi Soon,ALP,Labor,ALP,ALP,,36039,36039,128,36167,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,1,,41350,Y,N
NSW,103,Banks,1,41411,7,David Coleman,LP,Liberal,LNP,LIB,,38683,38683,72,38755,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,2,,41411,N,Y
NSW,103,Banks,1,40625,8,John Coyne,IND,Independent,OTH,IND_MINOR,CENTRE_LEFT,1995,1995,106,2101,False,False,False,0,True,True,8,7,5,5,40625>41350>41411>41486>41763>41858>41871>41990,40625>41350>41411>41486>41763>41858>41871,ALP>LNP>GRN>ON>OTH,ALP>LNP>GRN>ON>OTH,5,4,41763,N,N
