Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Jagajaga,VIC,36.4489,18.3164,17.8614,17.9303,5.8148,3.6282,41.9806,35.1618,22.8576,0.0000,0.0000,0.0000,62.6059,37.3941,0.0000,0.0000,0.0000,0.0000,62.8791,37.1209,0.0000,0.0000,0.0000,0.0000
Kennedy,QLD,11.2385,14.9221,8.5930,16.3642,0.0000,48.8823,18.5083,0.0000,0.0000,28.2470,0.0000,53.2447,0.0000,0.0000,0.0000,30.4893,0.0000,69.5107,40.6691,59.3309,0.0000,0.0000,0.0000,0.0000
Kingsford Smith,NSW,43.8709,15.7302,15.8994,21.1787,3.3209,0.0000,47.1435,0.0000,18.3232,34.5334,0.0000,0.0000,63.5427,0.0000,0.0000,36.4573,0.0000,0.0000,67.1872,32.8128,0.0000,0.0000,0.0000,0.0000
Kingston,SA,44.4176,8.8336,14.4713,21.5063,4.2699,6.5012,49.0613,0.0000,17.2232,33.7154,0.0000,0.0000,64.4762,0.0000,0.0000,35.5238,0.0000,0.0000,70.7405,29.2595,0.0000,0.0000,0.0000,0.0000
Kooyong,VIC,6.1576,34.5049,10.8796,10.5628,36.0710,1.8241,0.0000,44.9052,14.3731,0.0000,40.7217,0.0000,0.0000,46.3282,0.0000,0.0000,53.6718,0.0000,47.6281,52.3719,0.0000,0.0000,0.0000,0.0000
La Trobe,VIC,24.5320,29.2885,14.1745,23.7955,0.0000,8.2095,36.5248,34.4971,0.0000,28.9780,0.0000,0.0000,44.4704,55.5296,0.0000,0.0000,0.0000,0.0000,47.9395,52.0605,0.0000,0.0000,0.0000,0.0000
Lalor,VIC,36.7537,14.4792,15.8415,22.6586,2.5084,7.7586,41.3244,0.0000,19.5401,39.1355,0.0000,0.0000,58.8128,0.0000,0.0000,41.1872,0.0000,0.0000,63.2136,36.7864,0.0000,0.0000,0.0000,0.0000
Leichhardt,QLD,28.3844,18.4488,11.3343,25.2896,0.0000,16.5430,39.5188,22.9735,0.0000,37.5078,0.0000,0.0000,46.0432,0.0000,0.0000,53.9568,0.0000,0.0000,56.1303,43.8697,0.0000,0.0000,0.0000,0.0000
Lilley,QLD,39.5212,17.1769,18.6285,19.6689,0.0000,5.0044,43.0288,0.0000,20.5681,36.4031,0.0000,0.0000,61.4372,0.0000,0.0000,38.5628,0.0000,0.0000,64.5201,35.4799,0.0000,0.0000,0.0000,0.0000
Lindsay,NSW,26.2020,30.3717,11.0657,23.2059,0.0000,9.1547,37.2246,34.0798,0.0000,28.6956,0.0000,0.0000,45.6424,54.3576,0.0000,0.0000,0.0000,0.0000,47.2174,52.7826,0.0000,0.0000,0.0000,0.0000
Lingiari,NT,35.1762,19.7024,11.6632,24.1419,4.4722,4.8441,48.8981,24.1973,0.0000,26.9046,0.0000,0.0000,55.7702,0.0000,0.0000,44.2298,0.0000,0.0000,58.1259,41.8741,0.0000,0.0000,0.0000,0.0000
Longman,QLD,28.1199,25.0424,10.8837,26.8178,0.0000,9.1363,37.7146,28.2397,0.0000,34.0458,0.0000,0.0000,45.7346,0.0000,0.0000,54.2654,0.0000,0.0000,49.8897,50.1103,0.0000,0.0000,0.0000,0.0000
Lyne,NSW,13.7274,26.0215,8.2999,22.0967,14.8001,15.0544,0.0000,37.6843,0.0000,29.4779,32.8378,0.0000,0.0000,55.3836,0.0000,0.0000,44.6164,0.0000,40.2204,59.7796,0.0000,0.0000,0.0000,0.0000
