division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Cook,COOK,NSW,Inner metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.43348219149224043,0.43348219149224043,3,1,9.194617521848167,6.535806326434944,0.5418059658959133,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Dawson,DAWSON,QLD,Rural,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,LNP+ON,LNP+ON,LNP+ON,True,True,True,True,0.3298671332238712,0.3298671332238712,3,2,3.6806403335564912,3.6806403335564895,0.5194857575596258,OTH|ALP+LNP+ON,0,GRN>OTH>ALP,GRN>OTH>ALP
Barton,BARTON,NSW,Inner metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.4313866777472697,0.4313866777472697,3,1,8.723832969931324,8.723832969931323,0.5146986792569797,OTH|ALP+GRN+LNP+ON,0,OTH>LNP>GRN,OTH>LNP>GRN
Dickson,DICKSON,QLD,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,False,False,True,True,0.2913242361113122,0.2913242361113094,4,1,8.140274496991289,8.140274496991292,0.4935159680435256,IND|ALP+LNP,0,OTH>IND>GRN>ON,OTH>IND>GRN>ON
Adelaide,ADELAIDE,SA,Inner metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.32448868698591316,0.32448868698591593,3,1,9.232242368972157,4.967462866785458,0.467600619934682,OTH|ALP+GRN+LNP+ON,0,OTH>LNP>GRN,OTH>LNP>GRN
Petrie,PETRIE,QLD,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.20913565576461401,0.20913565576460846,3,1,6.8500348501000925,6.85003485010009,0.466543023659942,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Casey,CASEY,VIC,Rural,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.1220973311001905,0.12209733110018772,4,1,7.011176550980758,7.011176550980758,0.4643017065619535,IND|ALP+LNP,0,OTH>IND>GRN>ON,OTH>IND>GRN>ON
La Trobe,LA TROBE,VIC,Provincial,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.21174260552552226,0.21174260552552504,3,1,5.477054268723893,5.477054268723891,0.44963950362403887,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Swan,SWAN,WA,Inner metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.4087031540402464,0.40870315404024915,3,1,5.935843340959435,5.518714827995819,0.4491352353758395,OTH|ALP+GRN+LNP+ON,0,OTH>LNP>GRN,OTH>LNP>GRN
Canning,CANNING,WA,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.01651218137229682,0.01651218137230237,3,3,6.406913927419161,4.574501980281548,0.4484511128596084,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Dobell,DOBELL,NSW,Provincial,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.32697353386306194,0.3269735338630564,3,1,5.644276953320518,4.149395020913079,0.44828418309818047,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
