stage,division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_share,division,winner,runner_up,final_two,winner_pct,elimination_order,winner_match,runner_up_match,final_two_match,absolute_winner_error_pp
1_pass_through_original_fallback,DICKSON,ALP,LNP,ALP+LNP,0.5059640000000001,Dickson,ALP,LNP,ALP+LNP,0.5254817819480364,OTH>IND>GRN>ON,True,True,True,1.9517781948036328
1_pass_through_original_fallback,DOBELL,ALP,ON,ALP+ON,0.537111,Dobell,ALP,ON,ALP+ON,0.5300905066771293,OTH>GRN>LNP,True,True,True,0.7020493322870691
1_pass_through_original_fallback,DUNKLEY,ALP,ON,ALP+ON,0.552569,Dunkley,ALP,ON,ALP+ON,0.5410793920519047,IND>OTH>GRN>LNP,True,True,True,1.1489607948095282
1_pass_through_original_fallback,DURACK,LNP,ON,LNP+ON,0.503651,Durack,LNP,ON,LNP+ON,0.5047613419507456,GRN>OTH>ALP,True,True,True,0.11103419507456636
1_pass_through_original_fallback,EDEN-MONARO,ALP,ON,ALP+ON,0.539163,Eden-Monaro,ALP,ON,ALP+ON,0.5283346572767885,IND>OTH>GRN>LNP,True,True,True,1.0828342723211426
1_pass_through_original_fallback,FADDEN,LNP,ON,LNP+ON,0.534754,Fadden,LNP,ON,LNP+ON,0.5377599375169408,IND>OTH>GRN>ALP,True,True,True,0.3005937516940893
1_pass_through_original_fallback,FAIRFAX,LNP,ALP,ALP+LNP,0.576867,Fairfax,LNP,ALP,ALP+LNP,0.56901066557593,OTH>GRN>IND>ON,True,True,True,0.7856334424069966
1_pass_through_original_fallback,FARRER,LNP,IND,IND+LNP,0.528772,Farrer,LNP,IND,IND+LNP,0.5287718930608596,GRN>OTH>ALP>ON,True,True,True,1.0693914043180541e-05
1_pass_through_original_fallback,FISHER,LNP,IND,IND+LNP,0.515051,Fisher,IND,LNP,IND+LNP,0.5238495047471383,OTH>GRN>ALP>ON,False,False,True,0.879850474713828
1_pass_through_original_fallback,FLINDERS,LNP,IND,IND+LNP,0.624925,Flinders,LNP,IND,IND+LNP,0.6249245062694125,OTH>GRN>ALP>ON,True,True,True,4.937305874141984e-05
