State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,115,Dobell,OTH,5,4,ALP>LNP>GRN>ON,GRN,0.29980781550288277,0.25571628558096127,-0.0440915299219215,0.0440915299219215
NSW,115,Dobell,OTH,5,4,ALP>LNP>GRN>ON,LNP,0.10682254964766176,0.1251516565562296,0.01832910690856783,0.01832910690856783
NSW,115,Dobell,OTH,5,4,ALP>LNP>GRN>ON,ON,0.2908392056374119,0.36360242650489966,0.07276322086748777,0.07276322086748777
NSW,117,Eden-Monaro,GRN,3,6,ALP>LNP,ALP,0.8537079953650057,0.8537079953650059,1.1102230246251565e-16,1.1102230246251565e-16
NSW,117,Eden-Monaro,GRN,3,6,ALP>LNP,LNP,0.1462920046349942,0.1462920046349942,0.0,0.0
NSW,117,Eden-Monaro,ON,4,5,ALP>LNP>GRN,ALP,0.1667114815810702,0.1667114815810702,0.0,0.0
NSW,117,Eden-Monaro,ON,4,5,ALP>LNP>GRN,GRN,0.15927220579008694,0.15927220579008694,0.0,0.0
NSW,117,Eden-Monaro,ON,4,5,ALP>LNP>GRN,LNP,0.6740163126288429,0.6740163126288429,0.0,0.0
NSW,117,Eden-Monaro,OTH,5,4,ALP>LNP>GRN>ON,ALP,0.17232859789993824,0.17697277341947393,0.004644175519535693,0.004644175519535693
NSW,117,Eden-Monaro,OTH,5,4,ALP>LNP>GRN>ON,GRN,0.15729874408070826,0.1490539916935856,-0.008244752387122661,0.008244752387122661
NSW,117,Eden-Monaro,OTH,5,4,ALP>LNP>GRN>ON,LNP,0.26333127444924853,0.24642362713428703,-0.0169076473149615,0.0169076473149615
NSW,117,Eden-Monaro,OTH,5,4,ALP>LNP>GRN>ON,ON,0.407041383570105,0.4275496077526534,0.020508224182548385,0.020508224182548385
NSW,118,Farrer,ALP,3,7,LNP>IND,IND,0.7385750636132316,0.7385750636132316,0.0,0.0
NSW,118,Farrer,ALP,3,7,LNP>IND,LNP,0.26142493638676845,0.26142493638676845,0.0,0.0
NSW,118,Farrer,GRN,5,5,ALP>LNP>ON>IND,ALP,0.4003131524008351,0.4003131524008351,0.0,0.0
NSW,118,Farrer,GRN,5,5,ALP>LNP>ON>IND,IND,0.42466945024356295,0.42466945024356295,0.0,0.0
NSW,118,Farrer,GRN,5,5,ALP>LNP>ON>IND,LNP,0.09116214335421016,0.09116214335421016,0.0,0.0
NSW,118,Farrer,GRN,5,5,ALP>LNP>ON>IND,ON,0.0838552540013918,0.0838552540013918,0.0,0.0
NSW,118,Farrer,ON,4,6,ALP>LNP>IND,ALP,0.08051864895149671,0.08051864895149671,0.0,0.0
NSW,118,Farrer,ON,4,6,ALP>LNP>IND,IND,0.4683848247158636,0.4683848247158636,0.0,0.0
NSW,118,Farrer,ON,4,6,ALP>LNP>IND,LNP,0.4510965263326397,0.45109652633263964,-5.551115123125783e-17,5.551115123125783e-17
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,ALP,0.08720112517580872,0.07678883071553229,-0.01041229446027643,0.01041229446027643
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,GRN,0.07554751858549327,0.06428155904595695,-0.011265959539536324,0.011265959539536324
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,IND,0.20675105485232068,0.1719992243552453,-0.034751830497075364,0.034751830497075364
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,LNP,0.1908780389793048,0.18188869497770022,-0.008989344001604588,0.008989344001604588
NSW,118,Farrer,OTH,6,4,ALP>LNP>GRN>ON>IND,ON,0.43962226240707253,0.5050416909055653,0.06541942849849275,0.06541942849849275
NSW,119,Fowler,GRN,4,4,ALP>LNP>IND,ALP,0.5015339469120982,0.5015339469120982,0.0,0.0
NSW,119,Fowler,GRN,4,4,ALP>LNP>IND,IND,0.4128317993864212,0.4128317993864212,0.0,0.0
NSW,119,Fowler,GRN,4,4,ALP>LNP>IND,LNP,0.08563425370148059,0.08563425370148059,0.0,0.0
NSW,119,Fowler,LNP,3,5,ALP>IND,ALP,0.304705710955711,0.304705710955711,0.0,0.0
NSW,119,Fowler,LNP,3,5,ALP>IND,IND,0.695294289044289,0.695294289044289,0.0,0.0
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,ALP,0.12152087475149105,0.12152087475149105,0.0,0.0
NSW,119,Fowler,ON,6,2,ALP>LNP>GRN>IND>OTH,GRN,0.10064612326043737,0.10064612326043737,0.0,0.0
